,running_id,link,article_type,headline,content_extract,author,publication_time,shares,__final verdict__MANUAL,__final verdict__WEAK_SUPERVISION,__final verdict__WEAK_SUPERVISION__confidence,combined
10,1006,https://www.faz.net/aktuell/politik/geschichte/uno-verabschiedet-resolution-gegen-holocaust-leugnung-17743313.html,Vereinte Nationen,UNO verabschiedet Resolution gegen Holocaust-Leugnung,Die Generalversammlung in New York hat die von Israel und Deutschland verfasste Resolution ohne Abstimmung angenommen und sich auf eine klare Definition der Leugnung des Holocausts geeinigt.,,21.01.2022 03:49 Uhr,76.0,,0,0.648,Vereinte Nationen UNO verabschiedet Resolution gegen Holocaust-Leugnung Die Generalversammlung in New York hat die von Israel und Deutschland verfasste Resolution ohne Abstimmung angenommen und sich auf eine klare Definition der Leugnung des Holocausts geeinigt.
11,1007,https://www.faz.net/aktuell/politik/geschichte/80-jahre-wannsee-konferenz-wozu-menschen-faehig-sind-17738104.html,80. Jahrestag,"Die Wannsee-Konferenz zeigt, wozu Menschen fähig sind","Während die wissenschaftliche Aufarbeitung der NS-Verbrechen voranschreitet, wird der Antisemitismus in der Bevölkerung stärker. Deshalb brauchen wir Gedenktage und Holocaust Education an den Schulen. Ein Gastbeitrag von Josef Schuster.",Josef Schuster,19.01.2022 21:30 Uhr,115.0,,0,0.4682,"80. Jahrestag Die Wannsee-Konferenz zeigt, wozu Menschen fähig sind Während die wissenschaftliche Aufarbeitung der NS-Verbrechen voranschreitet, wird der Antisemitismus in der Bevölkerung stärker. Deshalb brauchen wir Gedenktage und Holocaust Education an den Schulen. Ein Gastbeitrag von Josef Schuster."
12,1008,https://www.faz.net/aktuell/politik/geschichte/fotos-von-richard-wagner-und-seiner-frau-werden-in-dreieich-ausgestellt-17694320.html,Das Fest in Bildern,Weihnachten bei Wagners,45 Jahre lang hat sich das Ehepaar Wagner an Weihnachten fotografiert. Die Schwarz-Weiß-Bilder zeugen von einer Individuellen- und der Zeitgeschichte.,Eberhard Schwarz,24.12.2021 17:58 Uhr,21.0,,1,0.2766,Das Fest in Bildern Weihnachten bei Wagners 45 Jahre lang hat sich das Ehepaar Wagner an Weihnachten fotografiert. Die Schwarz-Weiß-Bilder zeugen von einer Individuellen- und der Zeitgeschichte.
13,1009,https://www.faz.net/aktuell/politik/geschichte/75-jahre-wiederaufbau-der-paulskirche-17712010.html,Wiederaufbau der Paulskirche,Im Stein wie im Geiste,Nach der Nazi-Diktatur standen die Zeichen in Frankfurt auf Neuanfang. Der Wiederaufbau der Paulskirche stand bald im Mittelpunkt der politischen Entwicklungen in den ersten Jahren der Nachkriegszeit.,Günter Mick,02.01.2022 19:58 Uhr,7.0,,1,0.3831,Wiederaufbau der Paulskirche Im Stein wie im Geiste Nach der Nazi-Diktatur standen die Zeichen in Frankfurt auf Neuanfang. Der Wiederaufbau der Paulskirche stand bald im Mittelpunkt der politischen Entwicklungen in den ersten Jahren der Nachkriegszeit.
14,101,https://allesbeste.faz.net/entertainment/fernseher/oled-fernseher-vergleich/?utm_source=faz&utm_medium=verlagsbox&utm_campaign=oled-fernseher-test,OLED-Fernseher im Test,Die Königsklasse der TV-Geräte,,,,,,1,0.2713,OLED-Fernseher im Test Die Königsklasse der TV-Geräte 
15,1010,https://www.faz.net/aktuell/politik/geschichte/online-nachschlagewerk-virtuell-durch-hofheims-historie-17700119.html,Online-Nachschlagewerk,Virtuell durch Hofheims Historie,"Eine neues Online-Nachschlagewerk stellt die Hofheimer Stadtgeschichte dar, übersichtlich und mit einer Vielzahl von Fotos. Markante Gebäude inklusive.",Jan Schiefenhövel,26.12.2021 12:33 Uhr,3.0,,0,0.574,"Online-Nachschlagewerk Virtuell durch Hofheims Historie Eine neues Online-Nachschlagewerk stellt die Hofheimer Stadtgeschichte dar, übersichtlich und mit einer Vielzahl von Fotos. Markante Gebäude inklusive."
16,1011,https://www.faz.net/aktuell/politik/geschichte/frankfurt-explosion-im-weihnachtsgottesdienst-vor-25-jahren-17700101.html,Vor 25 Jahren in Frankfurt,Explosion im Weihnachtsgottesdienst,"Vor 25 Jahren starben bei einem Handgranaten-Selbstmord in einer Kirche in Frankfurt-Sindlingen drei Menschen, 13 erlitten schwere und schwerste Verletzungen. Die Tat einer geistig verwirrten Frau, die bis heute Rätsel aufgibt.",Ralf Euler,23.12.2021 19:50 Uhr,8.0,,1,0.3408,"Vor 25 Jahren in Frankfurt Explosion im Weihnachtsgottesdienst Vor 25 Jahren starben bei einem Handgranaten-Selbstmord in einer Kirche in Frankfurt-Sindlingen drei Menschen, 13 erlitten schwere und schwerste Verletzungen. Die Tat einer geistig verwirrten Frau, die bis heute Rätsel aufgibt."
17,1012,https://www.faz.net/aktuell/politik/geschichte/deutsch-juedische-geschichte-in-comics-anders-erzaehlt-17654548.html,Comic,Deutsch-jüdische Geschichte anders erzählt,„Nächstes Jahr in“ versammelt elf herausragende Comics und viele Informationen zu Stationen jüdischen Lebens in Deutschland. Dabei kann man viele unbekanntere Geschichten jüdischen Lebens kennenlernen.,Eva-Maria Magel,04.12.2021 19:41 Uhr,26.0,,0,0.5284,Comic Deutsch-jüdische Geschichte anders erzählt „Nächstes Jahr in“ versammelt elf herausragende Comics und viele Informationen zu Stationen jüdischen Lebens in Deutschland. Dabei kann man viele unbekanntere Geschichten jüdischen Lebens kennenlernen.
18,1013,https://www.faz.net/aktuell/politik/geschichte/hessen-archaeologische-untersuchungen-in-kelkheim-17656810.html,Spuren der Vorgeschichte,Wer wachte einst am Großen Mannstein?,Waren schon die Kelten oder die Römer auf dem einst waldlosen Plateau? Forscher suchen nach Hinweisen aus der Vor- und Frühgeschichte.,Heike Lattka,29.11.2021 17:00 Uhr,30.0,,0,0.4599,Spuren der Vorgeschichte Wer wachte einst am Großen Mannstein? Waren schon die Kelten oder die Römer auf dem einst waldlosen Plateau? Forscher suchen nach Hinweisen aus der Vor- und Frühgeschichte.
19,1014,https://www.faz.net/aktuell/politik/geschichte/generalbundesanwaltschaft-im-braunen-wasser-der-nationalsozialisten-17645238.html,Geschichte des GBA,Im braunen Wasser der Nationalsozialisten,"Auch die Bundesanwaltschaft hat ihre Nachkriegsgeschichte aufarbeiten lassen. Die Forscher sprechen von einer „schweren Hypothek"" und meinen nicht nur personelle Kontinuitäten.",Marlene Grunert,22.11.2021 08:53 Uhr,50.0,,0,0.4773,"Geschichte des GBA Im braunen Wasser der Nationalsozialisten Auch die Bundesanwaltschaft hat ihre Nachkriegsgeschichte aufarbeiten lassen. Die Forscher sprechen von einer „schweren Hypothek"" und meinen nicht nur personelle Kontinuitäten."
20,1015,https://www.faz.net/aktuell/politik/geschichte/fragen-an-den-langzeit-pharao-ramses-ii-17631963.html,Fragen an den Langzeit-Pharao,Wer war Ramses II.?,"Kein antiker Herrscher war länger im Amt als er. Was machte seine Regierungszeit aus, was seinen Erfolg? Sylvia Schoske, frühere Direktorin des Ägyptischen Museums in München, beantwortet Fragen zu Ramses II.",Uwe Ebbinghaus,14.11.2021 13:16 Uhr,56.0,,0,0.6368,"Fragen an den Langzeit-Pharao Wer war Ramses II.? Kein antiker Herrscher war länger im Amt als er. Was machte seine Regierungszeit aus, was seinen Erfolg? Sylvia Schoske, frühere Direktorin des Ägyptischen Museums in München, beantwortet Fragen zu Ramses II."
21,1016,https://www.faz.net/aktuell/politik/inland/endstation-verzweiflung-bei-der-deutschen-bahn-18079868.html,Baustellen und Verspätungen,Endstation Verzweiflung bei der Deutschen Bahn,Die Bahn steckt fest im selbst verschuldeten Schlamassel aus zahlreichen Baustellen und endlosen Verspätungen. Findet sie da jemals wieder raus?,Corinna Budras und Thiemo Heeg,04.06.2022 11:32 Uhr,90.0,,1,0.4696,Baustellen und Verspätungen Endstation Verzweiflung bei der Deutschen Bahn Die Bahn steckt fest im selbst verschuldeten Schlamassel aus zahlreichen Baustellen und endlosen Verspätungen. Findet sie da jemals wieder raus?
22,1017,https://www.faz.net/aktuell/politik/inland/worauf-hessens-neuer-ministerpraesident-bauen-kann-18080269.html,Boris Rheins Vorzüge,Worauf Hessens neuer Ministerpräsident bauen kann,Der neue hessische Regierungschef Boris Rhein verfügt über gute Kontakte zur Opposition. Auch seine politischen Gegner bringen ihm Wertschätzung entgegen. Das könnte sich nach der Landtagswahl im nächsten Jahr auszahlen.,"Ein Kommentar von
					  						Ewald Hetrodt, Wiesbaden",05.06.2022 14:07 Uhr,,,0,0.2984,Boris Rheins Vorzüge Worauf Hessens neuer Ministerpräsident bauen kann Der neue hessische Regierungschef Boris Rhein verfügt über gute Kontakte zur Opposition. Auch seine politischen Gegner bringen ihm Wertschätzung entgegen. Das könnte sich nach der Landtagswahl im nächsten Jahr auszahlen.
23,1018,https://www.faz.net/aktuell/politik/inland/boris-johnsons-riskantes-spiel-partygate-in-grossbritannien-ist-nicht-vorueber-18079685.html,Partygate in Großbritannien,Boris Johnsons riskantes Spiel,"Der Premierminister will seine Affäre aussitzen. Es ist nicht gesagt, dass seine Partei da mitmacht. Wird das Thronjubiläum zur letzten großen Sause des Vereinigten Königreichs?",,04.06.2022 21:23 Uhr,14.0,,0,0.9421,"Partygate in Großbritannien Boris Johnsons riskantes Spiel Der Premierminister will seine Affäre aussitzen. Es ist nicht gesagt, dass seine Partei da mitmacht. Wird das Thronjubiläum zur letzten großen Sause des Vereinigten Königreichs?"
24,1019,https://www.faz.net/aktuell/politik/inland/sondervermoegen-fuer-die-bundeswehr-panzer-auf-pump-18080095.html,Milliarden für die Bundeswehr,Panzer auf Pump,Der Bundestag hat der zweiten Wiederbewaffnung Deutschlands zugestimmt. Die Stunde der Wahrheit für die Koalition könnte aber erst noch kommen.,,03.06.2022 21:52 Uhr,61.0,,0,0.638,Milliarden für die Bundeswehr Panzer auf Pump Der Bundestag hat der zweiten Wiederbewaffnung Deutschlands zugestimmt. Die Stunde der Wahrheit für die Koalition könnte aber erst noch kommen.
25,102,https://allesbeste.faz.net/sport-outdoor/fahrrad/fahrradhelm-test/?utm_source=faz&utm_medium=verlagsbox&utm_campaign=fahrradhelm-test,Fahrradhelme im Test,Für sicheres Radfahren,,,,,,1,0.9042,Fahrradhelme im Test Für sicheres Radfahren 
26,1020,https://www.faz.net/aktuell/politik/inland/missbrauch-mittaetern-koennte-es-an-den-kragen-gehen-18079483.html,Sexuelle Gewalt,Strafe für Bischöfe,"Die Justizminister machen ernst: Wer als Fürsorge- oder Aufsichtspersonen seine Pflichten verletzt und dadurch Missbrauchstaten fördert, könnte dafür haftbar gemacht werden.",,03.06.2022 18:48 Uhr,11.0,,1,0.349,"Sexuelle Gewalt Strafe für Bischöfe Die Justizminister machen ernst: Wer als Fürsorge- oder Aufsichtspersonen seine Pflichten verletzt und dadurch Missbrauchstaten fördert, könnte dafür haftbar gemacht werden."
27,1021,https://www.faz.net/aktuell/politik/inland/daenemarks-und-ungarns-angst-vor-putin-verteidigung-und-beschwichtigung-18076875.html,Dänemark und Ungarn,Angst vor Putin,"Die Dänen stimmen für die EU-Verteidigung, Orbán holt den russischen Patriarchen von der Sanktionsliste: Manche setzen auf Verteidigung, andere auf Beschwichtigung.",,02.06.2022 17:37 Uhr,29.0,,0,0.4634,"Dänemark und Ungarn Angst vor Putin Die Dänen stimmen für die EU-Verteidigung, Orbán holt den russischen Patriarchen von der Sanktionsliste: Manche setzen auf Verteidigung, andere auf Beschwichtigung."
28,1022,https://www.faz.net/aktuell/politik/inland/merz-lockt-scholz-aus-der-reserve-eiertanz-nach-der-zeitenwende-18074499.html,Schlagabtausch im Bundestag,Der Eiertanz nach der Zeitenwende,"Bundeskanzler Olaf Scholz nimmt Rücksicht auf die Seelenqualen der SPD. Die Chance, seine Linie zum Krieg in der Ukraine von Grund auf zu erklären, nutzt er jedoch nicht.",,01.06.2022 18:22 Uhr,106.0,,1,0.3478,"Schlagabtausch im Bundestag Der Eiertanz nach der Zeitenwende Bundeskanzler Olaf Scholz nimmt Rücksicht auf die Seelenqualen der SPD. Die Chance, seine Linie zum Krieg in der Ukraine von Grund auf zu erklären, nutzt er jedoch nicht."
29,1023,https://www.faz.net/aktuell/politik/inland/covid-chinas-politik-hat-sich-nicht-bewaehrt-18073819.html,Chinas Null-Covid-Politik,Der Glaube an Xis Unfehlbarkeit ist erschüttert,Chinas Null-Covid-Politik ist an ihre Grenzen gestoßen. Schanghai war zwei Monate lang ein Gefängnis. Der Glaube an die Unfehlbarkeit des Staatschefs ist erschüttert.,,01.06.2022 16:46 Uhr,42.0,,0,0.5454,Chinas Null-Covid-Politik Der Glaube an Xis Unfehlbarkeit ist erschüttert Chinas Null-Covid-Politik ist an ihre Grenzen gestoßen. Schanghai war zwei Monate lang ein Gefängnis. Der Glaube an die Unfehlbarkeit des Staatschefs ist erschüttert.
30,1024,https://www.faz.net/aktuell/politik/inland/scholz-will-die-inflation-bremsen-es-braucht-eine-zinskorrektur-18073805.html,Scholz-Ankündigung,Fragwürdiges Inflationskonzert,Der Kanzler bittet zur Neuauflage der „Konzertierten Aktion“ gegen die hohe Preissteigerungsrate. Das erstaunt gleich aus mehreren Gründen – und könnte gehörig danebengehen.,,01.06.2022 15:48 Uhr,57.0,,0,0.9229,Scholz-Ankündigung Fragwürdiges Inflationskonzert Der Kanzler bittet zur Neuauflage der „Konzertierten Aktion“ gegen die hohe Preissteigerungsrate. Das erstaunt gleich aus mehreren Gründen – und könnte gehörig danebengehen.
31,1025,https://www.faz.net/aktuell/politik/inland/verschuldetes-bundesland-kann-anke-rehlinger-das-saarland-retten-18062789.html,Verschuldetes Bundesland,Kann Anke Rehlinger das Saarland retten?,"Strukturschwach, randständig, vom Rest der Republik oft belächelt: Die alten Probleme des Saarlands bleiben auch unter der neuen SPD-Alleinregierung. Und jetzt?",Oliver Georgi,04.06.2022 14:51 Uhr,4.0,,1,0.2835,"Verschuldetes Bundesland Kann Anke Rehlinger das Saarland retten? Strukturschwach, randständig, vom Rest der Republik oft belächelt: Die alten Probleme des Saarlands bleiben auch unter der neuen SPD-Alleinregierung. Und jetzt?"
32,1026,https://www.faz.net/aktuell/politik/inland/spd-chef-klingbeil-findet-steuer-auf-krisengewinne-sehr-ueberlegenswert-18081018.html,Ukraine-Krieg,Klingbeil findet Steuer auf Krisengewinne „sehr überlegenswert“,"Krisen- und Kriegsgewinner müssen laut dem SPD-Chef stärker zur Finanzierung des Gemeinwohls herangezogen werden. Er hat dabei besonders die Mineralölwirtschaft im Blick, die „ihre Profite in den vergangenen Monaten massiv gesteigert“ habe.",,04.06.2022 01:53 Uhr,8.0,,0,0.8674,"Ukraine-Krieg Klingbeil findet Steuer auf Krisengewinne „sehr überlegenswert“ Krisen- und Kriegsgewinner müssen laut dem SPD-Chef stärker zur Finanzierung des Gemeinwohls herangezogen werden. Er hat dabei besonders die Mineralölwirtschaft im Blick, die „ihre Profite in den vergangenen Monaten massiv gesteigert“ habe."
33,1027,https://www.faz.net/aktuell/politik/inland/sondervermoegen-bundestag-beschliesst-grundgesetzaenderung-18080022.html,Bundeswehr-Sondervermögen,Nur ein bisschen Schuldzuweisung,"So einig sind sie selten: Ampel und Union loben den historischen Tag, an dem sie das Sondervermögen für die Bundeswehr im Grundgesetz verankern. Ein paar Spitzen gibt es dennoch.",Eckart Lohse und Markus Wehner,03.06.2022 17:09 Uhr,6.0,,1,0.3358,"Bundeswehr-Sondervermögen Nur ein bisschen Schuldzuweisung So einig sind sie selten: Ampel und Union loben den historischen Tag, an dem sie das Sondervermögen für die Bundeswehr im Grundgesetz verankern. Ein paar Spitzen gibt es dennoch."
34,1028,https://www.faz.net/aktuell/politik/inland/rechtsterrorismus-jugendlicher-fuer-verdacht-auf-staatsgefaehrdende-gewalttat-in-haft-18080575.html,Rechtsterrorismus,Jugendlicher wegen Verdacht auf staatsgefährdende Gewalttat festgenommen,Der Beschuldigte soll Anleitungen zum Bau von Waffen und Sprengkörpern besitzen und erste Sprengversuche unternommen haben. Die Ermittlungen liefen seit Monaten.,,03.06.2022 19:45 Uhr,5.0,,0,0.8413,Rechtsterrorismus Jugendlicher wegen Verdacht auf staatsgefährdende Gewalttat festgenommen Der Beschuldigte soll Anleitungen zum Bau von Waffen und Sprengkörpern besitzen und erste Sprengversuche unternommen haben. Die Ermittlungen liefen seit Monaten.
35,1029,https://www.faz.net/aktuell/politik/inland/ist-mehr-fleisch-vernuenftig-18080030.html,Fraktur,Ist mehr Fleisch vernünftig?,Der Kanzler meint ja. Doch vom Siegen will er noch immer nicht sprechen. Wie wäre es dann mit „more victory“?,Berthold Kohler,03.06.2022 16:52 Uhr,28.0,,0,0.8246,Fraktur Ist mehr Fleisch vernünftig? Der Kanzler meint ja. Doch vom Siegen will er noch immer nicht sprechen. Wie wäre es dann mit „more victory“?
36,103,https://allesbeste.faz.net/haushalt/kueche/eismaschine-test/?utm_source=faz&utm_medium=verlagsbox&utm_campaign=eismaschine-test,Eismaschinen im Test,Eisgenuss für Zuhause,,,,,,0,0.2701,Eismaschinen im Test Eisgenuss für Zuhause 
37,1030,https://www.faz.net/aktuell/politik/inland/frankfurts-ob-feldmann-gibt-sich-trotz-drohendem-misstrauensantrag-unbeeindruckt-18080207.html,Abwahlverfahren naht,Oberbürgermeister Feldmann gibt sich unbeeindruckt,Die Mehrheit der Stadtverordneten will am Donnerstag im Parlament über den „Misstrauensantrag“ gegen OB Feldmann abstimmen. Der hat in dieser Woche das Gespräch mit der Römerkoalition gesucht. Seine Auftritte dosiert er derweil neu.,"Mechthild Harting, Frankfurt",03.06.2022 16:55 Uhr,9.0,,1,0.3839,Abwahlverfahren naht Oberbürgermeister Feldmann gibt sich unbeeindruckt Die Mehrheit der Stadtverordneten will am Donnerstag im Parlament über den „Misstrauensantrag“ gegen OB Feldmann abstimmen. Der hat in dieser Woche das Gespräch mit der Römerkoalition gesucht. Seine Auftritte dosiert er derweil neu.
38,1031,https://www.faz.net/aktuell/politik/inland/bundestag-stimmt-grundgesetzaenderung-fuer-bundeswehr-sondervermoegen-zu-18078603.html,Ukrainekrieg,Bundestag beschließt Sondervermögen für die Bundeswehr,Der Bundestag stimmt für das 100-Milliarden-Euro-Paket zur Aufrüstung der Bundeswehr im Zuge des Ukrainekriegs. Zunächst musste dazu das Grundgesetz geändert werden.,Eckart Lohse und Markus Wehner,03.06.2022 17:40 Uhr,8.0,,0,0.5778,Ukrainekrieg Bundestag beschließt Sondervermögen für die Bundeswehr Der Bundestag stimmt für das 100-Milliarden-Euro-Paket zur Aufrüstung der Bundeswehr im Zuge des Ukrainekriegs. Zunächst musste dazu das Grundgesetz geändert werden.
39,1032,https://www.faz.net/aktuell/politik/inland/innenminister-wollen-10-milliarden-euro-fuer-katastrophenschutz-18079651.html,Innenministerkonferenz,Länder fordern zehn Milliarden Euro für Katastrophenschutz,"Flutkatastrophen, Cyberangriffe, Folgen des Ukrainekriegs: Der Zivilschutz wird immer wichtiger. Die Innenminister wollen zudem die Speicherung von IP-Adressen prüfen, um Missbrauchstätern auf die Spur zu kommen.","Helene Bubrowski, Berlin",03.06.2022 15:59 Uhr,2.0,,0,0.5152,"Innenministerkonferenz Länder fordern zehn Milliarden Euro für Katastrophenschutz Flutkatastrophen, Cyberangriffe, Folgen des Ukrainekriegs: Der Zivilschutz wird immer wichtiger. Die Innenminister wollen zudem die Speicherung von IP-Adressen prüfen, um Missbrauchstätern auf die Spur zu kommen."
40,1033,https://www.faz.net/aktuell/politik/inland/ukraine-krieg-ruslan-stefantschuk-laedt-olaf-scholz-nach-kiew-ein-18079040.html,Stefantschuk in Berlin,Scholz nimmt Einladung nach Kiew „freundlich zur Kenntnis“,"Wird Scholz vor dem ukrainischen Parlament in Kiew sprechen? Parlamentspräsident Ruslan Stefantschuk hat den Kanzler in Berlin dazu eingeladen. Der nehme das „freundlich zur Kenntnis“, sagt ein Sprecher.","Eckart Lohse, Berlin",03.06.2022 13:48 Uhr,19.0,,0,0.5603,"Stefantschuk in Berlin Scholz nimmt Einladung nach Kiew „freundlich zur Kenntnis“ Wird Scholz vor dem ukrainischen Parlament in Kiew sprechen? Parlamentspräsident Ruslan Stefantschuk hat den Kanzler in Berlin dazu eingeladen. Der nehme das „freundlich zur Kenntnis“, sagt ein Sprecher."
41,1034,https://www.faz.net/aktuell/politik/inland/unwetter-duerften-menschen-finanziell-nicht-ruinieren-18077252.html,Ministerpräsidentenkonferenz in Berlin,"Großartig, so ein Familientreffen",Die Ministerpräsidenten treffen sich mit Scholz. Trotz guter Stimmung blieben die Beschlüsse überschaubar: Erste Vorbereitungen für den Corona-Herbst – und eine Initiative gegen Übergewinne von Mineralölkonzerne.,"Markus Wehner, Berlin",02.06.2022 22:52 Uhr,4.0,,1,0.41,"Ministerpräsidentenkonferenz in Berlin Großartig, so ein Familientreffen Die Ministerpräsidenten treffen sich mit Scholz. Trotz guter Stimmung blieben die Beschlüsse überschaubar: Erste Vorbereitungen für den Corona-Herbst – und eine Initiative gegen Übergewinne von Mineralölkonzerne."
